Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,30743.3797,30751.58969,33228.63392,40458.94117,46511.93475,48799.74423,52027.18907,58487.04601,64321.67448,58163.63853,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60915.4244,68007.75667,66983.132
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,24345.91482,24967.79252,26997.75299,32927.68029,37772.17811,39054.85044,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49169.71934,53489.75202,50536.62447
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,22416.42542,22449.33969,24288.27002,29627.92426,33797.16244,34768.1759,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39055.28293,43658.97898,40963.83734
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46793.68676,46772.82535,51203.55447,48432.45587
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,12072.92936,12549.03689,14177.57216,18518.37884,21995.47794,22560.14729,24821.93675,28863.97329,32127.98319,29828.75602,26716.64883,25483.88256,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19144.28439,17658.9473,20192.5963,20732.05222
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,4624.282203,5276.033189,6655.333009,8419.432122,10301.7017,11223.3993,11489.56087,13940.90675,15772.32703,13077.30762,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16125.60941,18772.14111,18463.20852
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,442.0347789,449.9111249,468.8444283,543.8437989,624.1050944,710.5093449,802.013742,1022.732476,993.5034125,1096.636136,1350.634457,1449.603301,1434.017978,1438.056995,1559.863772,1590.174322,1714.279541,1957.969814,1974.37773,2050.16379,1913.219721,2238.127139,2388.621198
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,26334.56721,28282.40988,32705.43456,41203.52958,47754.20232,50933.02161,54329.16186,61396.41746,61353.10656,52133.09062,48663.60044,52183.13293,49054.69743,51546.35476,55643.05943,62053.98444,62895.91112,69970.94891,79250.38785,80927.07467,85420.19086,100172.0793,104038.9461
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,21630.57077,20909.67895,19035.00197,19627.03184,20557.15507,21223.93559,22494.60002,25633.74961,30173.18336,28316.78537,31266.60532,34354.71612,33156.22832,36941.84236,38259.6811,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52166.81216,54659.75396
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20137.59122,20500.9544,22376.2979,27526.32246,31317.20079,32055.09208,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31918.69349,35770.04961,34157.99012
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,3447.303896,3502.213118,3683.893363,3557.200606,3819.284231,4200.388958,4435.571475,4738.449788,5056.258008,4452.120808,4835.791068,5259.931741,5365.242149,5143.722172,4991.564267,5077.551636,5022.703328,5273.148923,5594.493107,5626.170403,4897.26477,5183.5811,6047.216464
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,39169.36018,34406.16902,32820.78863,35387.04836,38298.98017,37812.89102,35991.54239,35779.01568,39876.3063,41309.00165,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,39986.92863,39827.12677,33815.31727
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,12256.99357,11561.24837,13165.06574,14672.85747,16496.12009,19402.50326,21743.47709,24086.41143,21350.42863,19143.85161,23087.22564,25096.26388,25466.76052,27182.73431,29249.57522,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31721.29802,34997.78164,32254.62472
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,..,..,..,..,..,..,..,..,2965.449915,2847.555339,3009.523465,3540.823286,3410.692727,3704.562199,3902.52982,3520.780421,3759.47104,4009.356038,4384.190404,4416.031322,4310.932984,5269.783901,5351.439542
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,19493.91453,17517.72519,18626.7595,22781.11943,27601.40006,36144.99495,42970.66313,45729.80604,55595.40848,37906.1503,39212.63528,49010.32037,51271.14865,47762.72232,43239.81365,29315.19607,27026.6482,29258.28964,32012.1352,30666.22066,24297.70114,32186.76541,43233.48909
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,7232.910681,7613.142978,7650.931864,7120.372121,7525.487461,8321.859856,9125.387739,9719.927864,10119.82106,8104.922573,9399.964709,10341.50024,10376.0905,10865.68729,11076.13411,9753.400562,8875.082069,9434.378179,9857.007487,10145.15263,8654.997325,10045.67637,11091.30543
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,1627.064997,1909.598702,2106.635068,2789.159065,3380.165121,3674.617924,4425.678873,5976.394145,7367.751909,6727.107767,6688.402684,7328.790465,6586.398684,7188.862445,7387.871036,6517.189614,7033.438006,7803.362579,8850.378404,8909.653336,7677.369141,9465.966408,9893.515907
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,13641.01786,13882.86651,16874.18749,21913.70817,25420.33729,27751.06547,26654.5932,32479.98174,31252.96256,28209.36233,33676.77412,38387.62708,39973.38076,42976.64959,44572.89875,38630.72659,40058.19616,42910.97284,43236.88669,42796.43058,41760.59478,49996.42067,48249.26402
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,38178.05615,38602.09441,43170.67163,50250.21153,57768.41243,67047.17046,74434.11281,85502.75393,97503.54078,80347.14416,88163.20859,101221.8135,102175.9193,103553.8401,97666.69518,74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,90655.39102,106148.7786
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,4501.479961,4991.244358,5207.128879,5701.638863,6681.31036,8021.547064,9035.531788,11254.31409,13995.7831,11525.90197,12504.25019,13776.3894,13010.75692,13558.34256,14181.95018,12560.05142,12378.81176,13815.49995,15504.50894,15700.01358,15816.8204,17999.83227,18321.28089
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,8795.260596,8337.322724,8380.959296,9321.803874,10935.01659,13462.76305,14848.60206,15756.19362,18944.85735,15064.63128,17958.94783,22441.57114,24069.20331,23945.51231,23862.80119,20442.36606,19930.40754,20910.48296,24175.58312,23405.70611,20398.06099,24160.67605,30436.2783
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,3241.66124,2867.472552,2708.423419,4095.68361,5268.278984,5893.186767,6139.581467,6662.062785,6251.877175,6444.18672,8059.562841,8737.04111,8173.869138,7441.230854,6965.137897,6204.929901,5735.066787,6734.475153,7048.508112,6688.774746,5741.641249,7055.055176,6776.480077
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,14749.68742,15369.00116,17106.68658,21510.83625,24907.00085,26429.15094,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26959.67544,30103.51373,29350.16852
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,29624.76987,27247.76321,29899.1236,37321.77867,42821.75084,43437.13093,46593.29168,53700.24369,56152.55944,46946.84271,52869.04429,60755.75955,58037.82132,61126.9432,60020.36046,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,52837.90398,61143.22124,55873.22081
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,38864.0439,39638.43879,42458.53416,49337.54689,54659.6403,56243.9473,59008.99301,64991.00515,74175.87764,71565.56998,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85216.64295,84121.93103,85656.32267,91991.60046,92101.46974
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,2004.107042,1889.971411,2091.178887,2350.845515,2647.260738,2876.245758,3343.785932,3934.690956,4327.797517,4154.187432,4996.372098,5396.643527,5748.632782,6041.134013,5822.377723,5708.794147,5854.463852,6436.789649,7124.558867,7628.576087,7001.785413,7060.897609,6908.802119
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,1996.515078,1754.842287,1760.667218,1937.042631,2195.985939,2478.427122,2751.960017,2799.368777,3221.079699,2915.494578,3416.110432,3852.143788,4378.572815,4208.188686,4125.426028,4117.93037,3978.438212,4367.25563,4649.613513,4878.978188,4605.970878,4425.970591,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkiye,TUR,4278.266534,3100.458788,3640.76183,4704.77201,6031.79031,7369.431295,8003.812177,9668.399443,10802.60048,8989.735883,10614.98457,11308.37174,11697.47436,12507.80316,12020.34966,10851.92011,10734.25647,10464.00779,9400.836337,9103.012397,8561.064333,9661.227734,10616.06104
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,53757.86325
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,28289.65269,27888.60511,30078.60813,34480.94106,40392.26486,42131.82707,44537.71234,50438.2296,47432.8791,38820.01459,39693.19387,42150.69814,42485.58607,43449.09172,47447.58893,45071.07432,41146.07736,40622.68939,43306.3083,42747.08046,40318.41692,46585.89756,45850.42612
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,36329.95607,37133.62311,37997.75966,39490.27496,41724.63163,44123.40707,46302.00088,48050.22378,48570.04598,47194.94335,48650.64313,50065.9665,51784.41857,53291.12769,55123.84979,56762.72945,57866.74493,59907.75426,62823.30944,65120.39466,63528.6343,70219.47245,76398.59174
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,4089.042659,3769.110169,3796.538934,4141.299245,4609.602569,4881.332927,5134.809962,5695.51483,6518.999914,6661.461523,7721.625263,8890.748424,9435.97324,9468.444029,9694.447645,9586.891992,9855.059823,10452.73707,11311.76908,11480.70382,11482.8805,13119.40565,12906.69401
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,25756.77397,25230.37809,24665.83729,23977.17341,24928.10037,26649.63658,28224.09395,30593.95248,31515.52786,30697.53839,32550.13789,35142.48793,36730.79777,38403.77771,40315.37222,42432.16197,43734.19807,46160.42979,48537.56689,48359.00325,46109.22999,49764.79312,48983.6238
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,440.538684,507.4040763,570.7998662,682.319096,897.1784947,1034.391977,1183.024784,1531.216189,2110.553118,1898.439683,2436.799359,2941.362119,3044.808479,3321.043917,3289.167846,2749.913038,2847.635069,3454.95469,4156.9575,4404.950422,4376.242493,5235.636044,5562.613625
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,26214.49855,26896.54811,29343.245,35750.97466,40436.61823,41994.71353,44900.93814,51799.20855,57879.94376,52722.21306,50999.74512,54230.3129,50070.1416,52198.89756,52900.53742,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,52162.57012,57708.11121,55985.40343
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,23852.83434,21699.74754,22159.83325,23730.37947,27608.07457,29961.30828,33768.44574,39432.89474,40008.57676,38926.81311,47236.67154,53891.46229,55547.54625,56967.42579,57564.80231,55645.60686,56895.64334,61164.89736,66836.53851,66070.47067,61274.00646,77710.06996,82807.64908
